Front (English),Back (Hebrew),Transliteration,Other forms,Mnemonic,Example (Hebrew),Example (translit),Example (English),Category,Day
Writer / author,סוֹפֵר / סוֹפֶרֶת,Sofer / Soferet,pl. Sofrim / Sofrot סוֹפְרִים / סוֹפְרוֹת,so-FER — same root as sefer (book) and sipur (story). A sofer is also the scribe who writes a Torah scroll.,הַסּוֹפֶרֶת כּוֹתֶבֶת סֵפֶר חָדָשׁ.,Ha-soferet kotevet sefer chadash.,The writer is writing a new book.,Nouns · Professions,44
Musician,מוּזִיקַאי / מוּזִיקָאִית,Muzikai / Muzikait,pl. Muzikaim / Muzikaiot מוּזִיקָאִים / מוּזִיקָאִיּוֹת,"Borrowed word + the Hebrew -ai ending that marks a practitioner (chaklai, bamai, muzikai).",הַמּוּזִיקַאי מְנַגֵּן כָּל עֶרֶב בַּבָּר.,Ha-muzikai menagen kol erev ba-bar.,The musician plays every evening at the bar.,Nouns · Professions,44
Director (film / theatre),בַּמַּאי / בַּמָּאִית,Bamai / Bamait,pl. Bamaim / Bamaiyot בַּמָּאִים / בַּמָּאִיּוֹת,"ba-MAI — from bama, ""a stage"". The bamai is the one who runs the stage.",הַבַּמַּאי מַסְבִּיר לַשַּׂחְקָנִים מָה לַעֲשׂוֹת.,Ha-bamai mesaber la-sachkanim ma laasot.,The director explains to the actors what to do.,Nouns · Professions,44
To learn / to study,לוֹמֵד / לוֹמֶדֶת,Lomed / Lomedet,inf. Lil-mod לִלְמוֹד,"LO-med — you're LOADING your brain, heading for MED school. Talmid (student) is the same root.",אֲנִי לוֹמֶדֶת עִבְרִית כָּל יוֹם.,Ani lomedet ivrit kol yom.,I study Hebrew every day.,Verbs · Learning,45
To teach,מְלַמֵּד / מְלַמֶּדֶת,Melamed / Melamedet,inf. Le-lamed לְלַמֵּד,"me-la-MED — learn is lomed, teach is melamed: add the me- and you're causing someone else to learn.",הַמּוֹרֶה מְלַמֵּד מָתֵמָטִיקָה.,Ha-more melamed matematika.,The teacher teaches math.,Verbs · Learning,45
To read,קוֹרֵא / קוֹרֵאת,Kore / Koret,inf. Li-kro לִקְרוֹא,"ko-REH — the Koran and the Mikra (Hebrew Bible) both mean ""the reading/recitation"". Kore also means ""calls out"".",הִיא קוֹרֵאת סֵפֶר חָדָשׁ כָּל שָׁבוּעַ.,Hi koret sefer chadash kol shavua.,She reads a new book every week.,Verbs · Learning,45
To write,כּוֹתֵב / כּוֹתֶבֶת,Kotev / Kotevet,inf. Lich-tov לִכְתּוֹב,"ko-TEV — think ""quote-ev"": writing down a quote. Michtav (letter) and ketovet (address) share the root.",אֲנִי כּוֹתֵב מִכְתָּב לַסָּבְתָא שֶׁלִּי.,Ani kotev michtav la-savta sheli.,I'm writing a letter to my grandmother.,Verbs · Learning,45
To repeat / to go over again,חוֹזֵר / חוֹזֶרֶת,Chozer / Chozeret,inf. Lach-zor לַחֲזוֹר,"Same verb as ""return"" — in Hebrew, to review is literally to go BACK over the material. Lachzor al ha-chomer = to review.",אֲנִי חוֹזֶרֶת עַל הַמִּלִּים הַיּוֹם.,Ani chozeret al ha-milim ha-yom.,I'm reviewing the words today.,Verbs · Learning,45
Pianist,פְּסַנְתְּרָן / פְּסַנְתְּרָנִית,Psantran / Psantranit,pl. Psantranim / Psantraniyot פְּסַנְתְּרָנִים / פְּסַנְתְּרָנִיּוֹת,psan-TRAN — from psanter (piano) + the -an ending for a doer. Same pattern as kanar (violinist).,הַפְּסַנְתְּרָנִית מְנַגֶּנֶת בְּקוֹנְצֶרְט.,Ha-psantranit menagenet be-kontzert.,The pianist plays in a concert.,Nouns · Professions,46
Violinist,כַּנָּר / כַּנָּרִית,Kanar / Kanarit,pl. Kanarim / Kanariyot כַּנָּרִים / כַּנָּרִיּוֹת,"ka-NAR — from kinor, the violin (and King David's harp was a kinor). ""Fiddler on the Roof"" is Kanar al ha-Gag.",הַכַּנָּר מְנַגֵּן בְּתִזְמֹרֶת.,Ha-kanar menagen be-tizmoret.,The violinist plays in an orchestra.,Nouns · Professions,46
Model,דֻּגְמָן / דֻּגְמָנִית,Dugman / Dugmanit,pl. Dugmanim / Dugmaniyot דֻּגְמָנִים / דֻּגְמָנִיּוֹת,"dug-MAN — from dugma, ""an example"". A model is literally a walking example.",הַדֻּגְמָנִית לוֹבֶשֶׁת בְּגָדִים חֲדָשִׁים.,Ha-dugmanit lovehet begadim chadashim.,The model wears new clothes.,Nouns · Professions,46
Winner / conductor,מְנַצֵּחַ / מְנַצַּחַת,Menatzeach / Menatzachat,pl. Menatzchim / Menatzchot מְנַצְּחִים / מְנַצְּחוֹת,"me-na-TSE-ach — nitzachon = victory. The orchestra conductor ""conquers"" the music — same word for both.",הַמְּנַצֵּחַ עַל הַתִּזְמֹרֶת מְעוּלֶה.,Ha-menatzeach al ha-tizmoret me'ule.,The conductor of the orchestra is excellent.,Nouns · Professions,46
Driver,נַהָג / נַהֶגֶת,Nahag / Nahaget,pl. Nahagim נַהָגִים,"na-HAG — from linhog, to drive. ""Na-HAG"" — he HUGS the wheel.",הַנַּהָג שֶׁל הָאוֹטוֹבּוּס נֶחְמָד.,Ha-nahag shel ha-otobus nechmad.,The bus driver is nice.,Nouns · Professions,46
Profession / subject,מִקְצוֹעַ,Miktzoa,pl. Miktzo-ot מִקְצוֹעוֹת,"mik-TSO-a — your profession is your ""slice"" of the world (from ketza, an edge/section). Also a school subject.",מָה הַמִּקְצוֹעַ שֶׁלָּךְ?,Ma ha-miktzoa shelach?,What's your profession?,Nouns · Work,47
Internship / specialization,הִתְמַחוּת,Hitmachut,pl. Hitmachuyot הִתְמַחֻיּוֹת,"hit-ma-CHOOT — from mumche, an expert. The hit- start means it's something you do to yourself: you make yourself an expert.",הַהִתְמַחוּת שֶׁלּוֹ בְּבֵית חוֹלִים.,Ha-hitmachut shelo ba-beit cholim.,His internship is at a hospital.,Nouns · Work,47
Team / staff,צֶוֶת,Tzevet,pl. Tzvatim צְוָתִים,"TSEH-vet — a tight crew. Related to tzav, an order/command — a team under orders.",הַצֶּוֶת עוֹבֵד יַחַד כָּל יוֹם.,Ha-tzevet oved yachad kol yom.,The team works together every day.,Nouns · Work,47
Volunteer,מִתְנַדֵּב / מִתְנַדֶּבֶת,Mitnadev / Mitnadevet,pl. Mitnadvim / Mitnadvot מִתְנַדְּבִים / מִתְנַדְּבוֹת,"mit-na-DEV — from nedava, a donation. The mit- prefix again: you give of yourself.",הַמִּתְנַדְּבִים עוֹזְרִים בַּקְּהִלָּה.,Ha-mitnadvim ozrim ba-kehila.,The volunteers help in the community.,Nouns · Work,47
Secretary,מַזְכִּיר / מַזְכִּירָה,Mazkir / Mazkira,pl. Mazkirim / Mazkirot מַזְכִּירִים / מַזְכִּירוֹת,maz-KEER — from lizkor (to remember): the secretary is the one who makes you remember. Same root: z-k-r.,הַמַּזְכִּירָה קוֹבַעַת אֶת הַפְּגִישׁוֹת.,Ha-mazkira koveaat et ha-pgishot.,The secretary schedules the meetings.,Nouns · Work,47
To eat,אוֹכֵל / אוֹכֶלֶת,Ochel / Ochelet,inf. Le-e-chol לֶאֱכוֹל,"OH-chel — ""Oh, KALE!"" Ochel is also the noun ""food"".",אֲנַחְנוּ אוֹכְלִים אֲרוּחָה גְּדוֹלָה בָּעֶרֶב.,Anachnu ochlim arucha gdola ba-erev.,We eat a big meal in the evening.,Verbs · Food,50
To drink,שׁוֹתֶה / שׁוֹתָה,Shote / Shota,inf. Lish-tot לִשְׁתּוֹת,SHO-teh — a SHOT of something to drink.,הוּא שׁוֹתֶה קָפֶה עִם חָלָב.,Hu shote kafe im chalav.,He drinks coffee with milk.,Verbs · Food,50
To cook,מְבַשֵּׁל / מְבַשֶּׁלֶת,Mevashel / Mevashelet,inf. Le-vashel לְבַשֵּׁל,me-va-SHEL — cooking in a big SHELL/pot. Tavshil = a cooked dish.,אַבָּא מְבַשֵּׁל מָרָק יְרָקוֹת.,Aba mevashel marak yerakot.,Dad is cooking vegetable soup.,Verbs · Food,50
To bake,אוֹפֶה / אוֹפָה,Ofe / Ofa,inf. Le-e-fot לֶאֱפוֹת,"OH-feh — ""Oh, fa-fa, it's hot!"" An ofe is also the noun ""baker"".",אֲנִי אוֹפָה עוּגָה לְיוֹם הֻלֶּדֶת.,Ani ofa uga le-yom huledet.,I'm baking a cake for a birthday.,Verbs · Food,50
To taste,טוֹעֵם / טוֹעֶמֶת,Toem / Toemet,inf. Lit-om לִטְעוֹם,"to-EM — you taste and say ""mmm, TOO YUM."" Ta'im = tasty.","תִּטְעֲמִי אֶת הָרוֹטֶב, הוּא מְצֻיָּן.","Tit'ami et ha-rotev, hu metzuyan.","Taste the sauce, it's excellent.",Verbs · Food,50
Hungry,רָעֵב / רְעֵבָה,Ra'ev / Re'eva,pl. Re'evim / Re'evot רְעֵבִים / רְעֵבוֹת,ra-EV — a hungry RAVEN. Ra'av = famine.,"אֲנִי רָעֵב, בּוֹא נֹאכַל מַשֶּׁהוּ.","Ani ra'ev, bo nochal mashehu.","I'm hungry, let's eat something.",Adjectives · Body states,51
Thirsty,צָמֵא / צְמֵאָה,Tzame / Tzme'a,pl. Tzme'im / Tzme'ot צְמֵאִים / צְמֵאוֹת,"tsa-MEH — your throat is ""tsa-MEH-parched"". Learn it as the pair to ra'ev; they rhyme in structure.",הַיְּלָדִים צְמֵאִים אַחֲרֵי הַמִּשְׂחָק.,Ha-yeladim tzme'im achrei ha-mischak.,The children are thirsty after the game.,Adjectives · Body states,51
Tired,עָיֵף / עֲיֵפָה,Ayef / Ayefa,pl. Ayefim / Ayefot עֲיֵפִים / עֲיֵפוֹת,"a-YEF — a tired sigh: ""ai-YEF…"" Remember: with no verb ""to be"", ""I'm tired"" is just Ani ayef.","אֲנִי עֲיֵפָה, אֲנִי הוֹלֶכֶת לִישֹׁן.","Ani ayefa, ani holechet lishon.","I'm tired, I'm going to sleep.",Adjectives · Body states,51
Sick / ill,חוֹלֶה / חוֹלָה,Choleh / Chola,pl. Cholim / Cholot חוֹלִים / חוֹלוֹת,"CHO-leh — beit cholim, ""house of the sick"", is a hospital. A choleh is also ""a patient"".","הַיַּלְדָּה חוֹלָה, הִיא לֹא הָלְכָה לְבֵית סֵפֶר.","Ha-yalda chola, hi lo halcha le-beit sefer.","The girl is sick, she didn't go to school.",Adjectives · Body states,51
Healthy,בָּרִיא / בְּרִיאָה,Bari / Bri'a,pl. Bri'im / Bri'ot בְּרִיאִים / בְּרִיאוֹת,"ba-REE — ""Be well!"" is Titbari! Bri'ut = health, and it's what you say when someone sneezes.",אֹכֶל בָּרִיא חָשׁוּב לַגּוּף.,Ochel bari chashuv la-guf.,Healthy food is important for the body.,Adjectives · Body states,51
Clothing / a garment,בֶּגֶד,Beged,pl. Begadim בְּגָדִים,BEH-ged — you wear a BAGGED item. Usually used in the plural: begadim = clothes.,אֲנִי מְסַדֶּרֶת אֶת הַבְּגָדִים בָּאָרוֹן.,Ani mesaderet et ha-begadim ba-aron.,I'm arranging the clothes in the closet.,Nouns · Clothing,52
Shirt / blouse,חֻלְצָה,Chultza,pl. Chultzot חֻלְצוֹת,"chul-TSA — sounds like ""HOLD-za"" — the thing that holds your torso.",הַחֻלְצָה הַלְּבָנָה מְלוּכְלֶכֶת.,Ha-chultza ha-levana meluchlechet.,The white shirt is dirty.,Nouns · Clothing,52
Pants / trousers,מִכְנָסַיִם,Michnasayim,pl. — (always dual) —,"mich-na-SA-yim — from lehachnis, ""to put in"": pants are what you put your legs INTO. Always dual, like all leg-and-eye words.",הַמִּכְנָסַיִם הָאֵלֶּה קְצָרִים מִדַּי.,Ha-michnasayim ha-eleh ktzarim mid'i.,These pants are too short.,Nouns · Clothing,52
Dress,שִׂמְלָה,Simla,pl. Simlot שִׂמְלוֹת,sim-LA — a dress makes you SMILE-ah. Handy near sameach (happy).,הִיא קוֹנָה שִׂמְלָה לַחֲתוּנָה.,Hi konah simla la-chatuna.,She's buying a dress for the wedding.,Nouns · Clothing,52
Skirt,חֲצָאִית,Chatzait,pl. Chatzaiyot חֲצָאִיּוֹת,"cha-tsa-EET — from chetzi, ""half"": a skirt is half a dress. Perfectly logical.",הַחֲצָאִית אֲרֻכָּה וְצִבְעוֹנִית.,Ha-chatzait aruka ve-tzivonit.,The skirt is long and colorful.,Nouns · Clothing,52
Coat,מְעִיל,Me-il,pl. Me-ilim מְעִילִים,"meh-EEL — a coat SEALS you in against the cold. ""Me-SEAL.""","קַח מְעִיל, קַר בַּחוּץ.","Kach me'il, kar ba-chutz.","Take a coat, it's cold outside.",Nouns · Clothing,53
Suit,חֲלִיפָה,Chalifa,pl. Chalifot חֲלִיפוֹת,"cha-lee-FA — from lehachlif, ""to change/swap"": a suit is your change of clothes for special occasions.",הוּא לוֹבֵשׁ חֲלִיפָה שְׁחוֹרָה לָעֲבוֹדָה.,Hu lovesh chalifa shchora la-avoda.,He wears a black suit to work.,Nouns · Clothing,53
Tie,עֲנִיבָה,Aniva,pl. Anivot עֲנִיבוֹת,"a-nee-VA — from la'anov, to knot. A tie is ""the knotted thing"".",הָעֲנִיבָה שֶׁלּוֹ צִבְעוֹנִית מִדַּי.,Ha-aniva shelo tzivonit mid'i.,His tie is too colorful.,Nouns · Clothing,53
Belt,חֲגוֹרָה,Chagora,pl. Chagorot חֲגוֹרוֹת,cha-go-RA — a belt HUGS you around. Chagorat betichut = a seatbelt.,תַּחְגֹּר חֲגוֹרַת בְּטִיחוּת בַּמְּכוֹנִית.,Tachgor chagorat betichut ba-mechonit.,Fasten your seatbelt in the car.,Nouns · Clothing,53
Pocket,כִּיס,Kis,pl. Kisim כִּיסִים,KEES — you KEEP things in it. Kis also means a bag or a pouch.,הַמַּפְתֵּחַ בַּכִּיס שֶׁל הַמִּכְנָסַיִם.,Ha-mafteach ba-kis shel ha-michnasayim.,The key is in the pants pocket.,Nouns · Clothing,53
Shoe,נַעַל,Na'al,pl. Na'alayim נְעָלַיִם,"NA-al — same root as lin'ol, the verb for wearing shoes. Dual ending because shoes come in twos.",הַנַּעֲלַיִם הַחֲדָשׁוֹת לֹא נוֹחוֹת.,Ha-na'alayim ha-chadashot lo nochot.,The new shoes aren't comfortable.,Nouns · Clothing,54
Boot,מַגָּף,Magaf,pl. Magafayim מַגָּפַיִם,ma-GAF — a boot with a big GAFF/cuff at the top.,בַּחֹרֶף אֲנִי נוֹעֶלֶת מַגָּפַיִם.,Ba-choref ani no'elet magafayim.,In winter I wear boots.,Nouns · Clothing,54
Sock,גֶּרֶב,Gerev,pl. Garbayim גַּרְבַּיִם,"GEH-rev — sounds like ""GRAB"" — grab a pair of socks.",אֵילוּ גַּרְבַּיִם נְקִיִּים יֵשׁ?,Ei-ze garbayim nekiyim yesh?,Which clean socks are there?,Nouns · Clothing,54
Slippers,נַעֲלֵי בַּיִת,Na'alei bayit,pl. Na'alei bayit נַעֲלֵי בַּיִת,"Literally ""house shoes"" — na'alayim + bayit. Hebrew loves these transparent compounds.",אֲנִי נוֹעֵל נַעֲלֵי בַּיִת בָּעֶרֶב.,Ani noel na'alei bayit ba-erev.,I wear slippers in the evening.,Nouns · Clothing,54
Glove,כְּפָפָה,Kfafa,pl. Kfafot כְּפָפוֹת,"kfa-FA — from kaf, the palm of the hand. A glove is ""the palm-thing"".",צָרִיךְ כְּפָפוֹת כְּשֶׁקַּר מְאוֹד.,Tzarich kfafot kshe-kar me'od.,You need gloves when it's very cold.,Nouns · Clothing,54
To get up / to stand up,קָם / קָמָה,Kam / Kama,inf. La-kum לָקוּם,"KAM — ""Come on, get up!"" Kum! is what a parent shouts in the morning.",אֲנִי קָמָה בְּשֵׁשׁ בַּבֹּקֶר.,Ani kama be-shesh ba-boker.,I get up at six in the morning.,Verbs · Daily life,57
To sit,יוֹשֵׁב / יוֹשֶׁבֶת,Yoshev / Yoshevet,inf. La-shevet לָשֶׁבֶת,"yo-SHEV — same root as Shabbat, the day you sit and rest. Also moshav, a place people sit/settle.",אֲנַחְנוּ יוֹשְׁבִים בַּסָּלוֹן וּמְדַבְּרִים.,Anachnu yoshvim ba-salon ve-medabrim.,We sit in the living room and talk.,Verbs · Daily life,57
To stand,עוֹמֵד / עוֹמֶדֶת,Omed / Omedet,inf. La-amod לַעֲמוֹד,"oh-MED — standing like a column: amud means ""pillar"" (and ""page"").",הֵם עוֹמְדִים בַּתּוֹר לַקֻּפָּה.,Hem omdim ba-tor la-kupa.,They're standing in line for the register.,Verbs · Daily life,57
To rest,נָח / נָחָה,Nach / Nacha,inf. La-nuach לָנוּחַ,NACH — Noah (Noach) rested after the flood. Menucha = rest.,אֲנִי נָחָה אַחֲרֵי הָעֲבוֹדָה.,Ani nacha achrei ha-avoda.,I rest after work.,Verbs · Daily life,57
To stay / to remain,נִשְׁאָר / נִשְׁאֶרֶת,Nishar / Nisheret,inf. Le-hishaer לְהִשָּׁאֵר,nish-AR — what's left over is the SHARE that stays behind.,אֲנִי נִשְׁאֶרֶת בַּבַּיִת הָעֶרֶב.,Ani nisheret ba-bayit ha-erev.,I'm staying home this evening.,Verbs · Daily life,57
Hat,כּוֹבַע,Kova,pl. Kova'im כּוֹבָעִים,KO-va — a hat COVERS you. Ko-va / co-ver: close enough to stick.,"תָּשִׂים כּוֹבַע, הַשֶּׁמֶשׁ חֲזָקָה.","Tasim kova, ha-shemesh chazaka.","Put on a hat, the sun is strong.",Nouns · Clothing,58
Scarf,צָעִיף,Tza'if,pl. Tze'ifim צְעִיפִים,"tsa-EEF — it wraps you and you feel SAFE. (Careful: tza'ir = young, one letter apart.)",הַצָּעִיף הָאָדֹם מַתְאִים לַמְּעִיל.,Ha-tza'if ha-adom mit'im la-me'il.,The red scarf matches the coat.,Nouns · Clothing,58
Glasses (to see),מִשְׁקָפַיִם,Mishkafayim,pl. — (always dual) —,"mish-ka-FA-yim — from lehashkif, ""to look out"". Two lenses, so the -ayim dual ending.",אֲנִי לֹא רוֹאֶה כְּלוּם בְּלִי מִשְׁקָפַיִם.,Ani lo ro'eh klum bli mishkafayim.,I can't see anything without glasses.,Nouns · Clothing,58
Sunglasses,מִשְׁקְפֵי שֶׁמֶשׁ,Mishkefei shemesh,pl. — (always dual) —,"Glasses + shemesh (sun). Compound again: ""glasses of sun"".",שָׁכַחְתִּי אֶת מִשְׁקְפֵי הַשֶּׁמֶשׁ בַּמְּכוֹנִית.,Shachachti et mishkefei ha-shemesh ba-mechonit.,I forgot my sunglasses in the car.,Nouns · Clothing,58
Backpack / schoolbag,יַלְקוּט,Yalkut,pl. Yalkutim יַלְקוּטִים,yal-KOOT — a YELLOW KIT on your back. Every Israeli schoolkid carries one.,הַיַּלְקוּט שֶׁל הַיֶּלֶד כָּבֵד מְאוֹד.,Ha-yalkut shel ha-yeled kaved me'od.,The child's backpack is very heavy.,Nouns · Clothing,58
Hot / warm,חַם / חַמָּה,Cham / Chama,pl. Chamim / Chamot חַמִּים / חַמּוֹת,CHAM — chamsin is the hot desert wind. Chamin is the slow-cooked Shabbat stew — the hot dish.,הַקָּפֶה חַם מִדַּי לִשְׁתּוֹת.,Ha-kafe cham mid'i lishtot.,The coffee is too hot to drink.,Adjectives · Qualities,59
Cold,קַר / קָרָה,Kar / Kara,pl. Karim / Karot קָרִים / קָרוֹת,"KAR — a cold CAR in the morning. Kor = the cold; mekarer = fridge, the cold-maker.","קַר בַּחוּץ, קַח מְעִיל.","Kar ba-chutz, kach me'il.","It's cold outside, take a coat.",Adjectives · Qualities,59
Wet,רָטוּב / רְטוּבָה,Ratuv / Retuva,pl. Retuvim / Retuvot רְטוּבִים / רְטוּבוֹת,"ra-TOOV — from the same family as rotev, sauce (the wet stuff). Both from r-t-v.",הַבְּגָדִים עוֹד רְטוּבִים.,Ha-begadim od retuvim.,The clothes are still wet.,Adjectives · Qualities,59
Dry,יָבֵשׁ / יְבֵשָׁה,Yavesh / Yevesha,pl. Yeveshim / Yeveshot יְבֵשִׁים / יְבֵשׁוֹת,"ya-VESH — the dry land God separated from the sea is yabasha. Say ""ya-VESH"" like something crackling dry.",הַלֶּחֶם יָבֵשׁ מֵאֶתְמוֹל.,Ha-lechem yavesh mi-etmol.,The bread is dry from yesterday.,Adjectives · Qualities,59
Bitter,מַר / מָרָה,Mar / Mara,pl. Marim / Marot מָרִים / מָרוֹת,"MAR — the bitter herbs at Passover are maror. Mar is also the polite title ""Mr."" — different word, same sound.",הַקָּפֶה הַזֶּה מַר מְאוֹד.,Ha-kafe ha-ze mar me'od.,This coffee is very bitter.,Adjectives · Qualities,59
Jewelry / an ornament,תַּכְשִׁיט,Tachshit,pl. Tachshitim תַּכְשִׁיטִים,"tach-SHEET — a fancy sheet of metal. Slang bonus: calling a kid a tachshit means ""you little piece of work"".",הִיא קוֹנָה תַּכְשִׁיטִים בַּשּׁוּק.,Hi konah tachshitim ba-shuk.,She buys jewelry at the market.,Nouns · Clothing,60
Ring,טַבַּעַת,Taba'at,pl. Taba'ot טַבָּעוֹת,ta-BA-at — from tova (to sink/stamp) — a signet ring stamps a seal. The Lord of the Rings is Sar Ha-Taba'ot.,הַטַּבַּעַת שֶׁלָּהּ מִזָּהָב.,Ha-taba'at shela me-zahav.,Her ring is made of gold.,Nouns · Clothing,60
Bracelet,צָמִיד,Tzamid,pl. Tzmidim צְמִידִים,"tsa-MEED — from tzamud, ""attached/stuck to"". A bracelet stays attached to your wrist.",קִבַּלְתִּי צָמִיד יָפֶה לְיוֹם הֻלֶּדֶת.,Kibalti tzamid yafe le-yom huledet.,I got a beautiful bracelet for my birthday.,Nouns · Clothing,60
Necklace / chain,שַׁרְשֶׁרֶת,Sharsheret,pl. Sharsharot שַׁרְשָׁרוֹת,shar-SHEH-ret — say it fast and it rattles like links: shar-sheh-ret.,הַשַּׁרְשֶׁרֶת הַזֹּאת עַתִּיקָה.,Ha-sharsheret ha-zo atika.,This necklace is ancient.,Nouns · Clothing,60
Watch / clock,שָׁעוֹן,Shaon,pl. Shaonim שְׁעוֹנִים,"sha-ON — from sha'a (hour). A watch is ""the hour-thing"".",הַשָּׁעוֹן שֶׁלִּי מְאַחֵר בְּחָמֵשׁ דַּקּוֹת.,Ha-shaon sheli me'achar be-chamesh dakot.,My watch is five minutes slow.,Nouns · Clothing,60
Costume,תַּחְפֹּשֶׂת,Tachposet,pl. Tachposot תַּחְפֹּשׂוֹת,tach-PO-set — from lechapes (to search) — a costume makes people search for who you really are. Purim is the tachposet holiday.,הַיְּלָדִים לוֹבְשִׁים תַּחְפֹּשׂוֹת בְּפוּרִים.,Ha-yeladim lovshim tachposot be-Purim.,The children wear costumes on Purim.,Nouns · Clothing,60
To take,לוֹקֵחַ / לוֹקַחַת,Lokeach / Lokachat,inf. La-kachat לָקַחַת,"lo-KE-ach — ""LOW, CATCH it!"" — reach down and take.",אֲנִי לוֹקַחַת אֶת הַיַּלְקוּט שֶׁלִּי.,Ani lokachat et ha-yalkut sheli.,I'm taking my backpack.,Verbs · Hands,61
To give,נוֹתֵן / נוֹתֶנֶת,Noten / Notenet,inf. La-tet לָתֵת,"no-TEN — ""No? TEN, then"" — handing over ten shekels. Matana (gift) is the same root: n-t-n.",הוּא נוֹתֵן לִי מַתָּנָה יָפָה.,Hu noten li matana yafa.,He's giving me a beautiful gift.,Verbs · Hands,61
To bring,מֵבִיא / מְבִיאָה,Mevi / Mevia,inf. Le-havi לְהָבִיא,"meh-VEE — ""Me? V.I.P. — I bring the goods."" Related to la-vo (to come): bringing = causing to come.",אֲנִי מְבִיאָה יַיִן לַמְּסִבָּה.,Ani mevia yayin la-mesiba.,I'm bringing wine to the party.,Verbs · Hands,61
To put / to place,שָׂם / שָׂמָה,Sam / Sama,inf. La-sim לָשִׂים,"SAM — ""Sam, put it down."" Sim lev = ""put heart"" = pay attention.",שִׂים אֶת הַסֵּפֶר עַל הַשֻּׁלְחָן.,Sim et ha-sefer al ha-shulchan.,Put the book on the table.,Verbs · Hands,61
To hold,מַחֲזִיק / מַחֲזִיקָה,Machzik / Machzika,inf. Le-hachzik לְהַחֲזִיק,mach-ZEEK — you hold on because your grip is chazak (strong). Same root: ch-z-k.,הִיא מַחֲזִיקָה אֶת הַתִּינוֹק בַּיָּדַיִם.,Hi machzika et ha-tinok ba-yadayim.,She's holding the baby in her arms.,Verbs · Hands,61
Apartment,דִּירָה,Dira,pl. Dirot דִּירוֹת,"dee-RA — you get a DEAL on a DIRA. Most Israelis live in one, so you'll hear it constantly.",אֲנַחְנוּ מְחַפְּשִׂים דִּירָה גְּדוֹלָה יוֹתֵר.,Anachnu mechapsim dira gdola yoter.,We're looking for a bigger apartment.,Nouns · Home,64
Building,בִּנְיָן,Binyan,pl. Binyanim בִּנְיָנִים,"bin-YAN — from livnot (to build). Bonus: the seven Hebrew verb patterns are also called binyanim, ""buildings"".",הַבִּנְיָן הַזֶּה עַתִּיק מְאוֹד.,Ha-binyan ha-ze atik me'od.,This building is very old.,Nouns · Home,64
Room,חֶדֶר,Cheder,pl. Chadarim חֲדָרִים,CHEH-der — the Jewish one-room schoolhouse was called a cheder. Note the vowel flip in the plural: cheder → chadarim.,בַּדִּירָה יֵשׁ שְׁלוֹשָׁה חֲדָרִים.,Ba-dira yesh shlosha chadarim.,There are three rooms in the apartment.,Nouns · Home,64
Roof,גַּג,Gag,pl. Gagot גַּגּוֹת,"GAG — two letters, shaped like a little roof: ג is even pointy on top.",אֲנַחְנוּ יוֹשְׁבִים עַל הַגַּג בָּעֶרֶב.,Anachnu yoshvim al ha-gag ba-erev.,We sit on the roof in the evening.,Nouns · Home,64
Garden / park / kindergarten,גַּן,Gan,pl. Ganim גַּנִּים,"GAN — Gan Eden = the Garden of Eden. A kindergarten is a gan yeladim, ""children's garden"".",הַיְּלָדִים מְשַׂחֲקִים בַּגַּן.,Ha-yeladim mesachakim ba-gan.,The children play in the park.,Nouns · Home,64
Because (of),בִּגְלַל,Biglal,,big-LAL — biglal takes a NOUN: biglal ha-geshem (because of the rain). For a full clause you need ki: ki yarad geshem.,אִחַרְתִּי בִּגְלַל הַתְּנוּעָה.,Icharti biglal ha-tnu'a.,I was late because of the traffic.,Connectors · Logic,65
Therefore / that's why,לָכֵן,Lachen,,"la-CHEN — ""la-KEN, and so it follows."" Slightly formal; in speech Israelis often just say az.","הָיָה מְאוּחָר, לָכֵן הָלַכְתִּי הַבַּיְתָה.","Haya me'uchar, lachen halachti ha-baita.","It was late, therefore I went home.",Connectors · Logic,65
If,אִם,Im,,"EEM — careful with its twin: im (אִם) = if, but im (עִם) = with. Same sound, different first letter, opposite jobs.","אִם יִהְיֶה גֶּשֶׁם, נִשָּׁאֵר בַּבַּיִת.","Im yihiyeh geshem, nisha'er ba-bayit.","If it rains, we'll stay home.",Connectors · Logic,65
Although / despite,לַמְרוֹת,Lamrot,,"lam-ROT — from meri, ""rebellion"": you go on in spite of it. Lamrot she- = ""even though"".",יָצָאנוּ לַמְרוֹת הַגֶּשֶׁם.,Yatzanu lamrot ha-geshem.,We went out despite the rain.,Connectors · Logic,65
Rather / but instead,אֶלָּא,Ela,,"eh-LA — used after a negative: ""Lo… ela…"" = ""not X but rather Y"".",אֲנִי לֹא רוֹצָה קָפֶה אֶלָּא תֵּה.,Ani lo rotza kafe ela te.,I don't want coffee but rather tea.,Connectors · Logic,65
Bedroom,חֶדֶר שֵׁנָה,Chadar sheina,pl. Chadrei sheina חַדְרֵי שֵׁנָה,"cheder + sheina (sleep). ""Room of sleep."" Notice how cheder becomes chadar when it's glued to another noun.",חֲדַר הַשֵּׁנָה שָׁקֵט וְנָעִים.,Chadar ha-sheina shaket ve-nachim.,The bedroom is quiet and pleasant.,Nouns · Home,66
